update,global_step,sps,recent_return,recent_yaw,recent_length,eval_reward,eval_score,eval_yaw_distance,eval_planar_drift,eval_mean_planar_drift,eval_max_planar_drift,eval_pass_count,eval_length,policy_loss,value_loss,entropy,approx_kl,yaw_neg1_score,yaw_neg1_yaw_distance,yaw_neg1_target_yaw_distance,yaw_neg1_planar_drift,yaw_neg1_mean_planar_drift,yaw_neg1_max_planar_drift,yaw_neg1_pass_gate,yaw_neg1_length,yaw_neg1_terminated,yaw_neg05_score,yaw_neg05_yaw_distance,yaw_neg05_target_yaw_distance,yaw_neg05_planar_drift,yaw_neg05_mean_planar_drift,yaw_neg05_max_planar_drift,yaw_neg05_pass_gate,yaw_neg05_length,yaw_neg05_terminated,yaw_pos05_score,yaw_pos05_yaw_distance,yaw_pos05_target_yaw_distance,yaw_pos05_planar_drift,yaw_pos05_mean_planar_drift,yaw_pos05_max_planar_drift,yaw_pos05_pass_gate,yaw_pos05_length,yaw_pos05_terminated,yaw_pos1_score,yaw_pos1_yaw_distance,yaw_pos1_target_yaw_distance,yaw_pos1_planar_drift,yaw_pos1_mean_planar_drift,yaw_pos1_max_planar_drift,yaw_pos1_pass_gate,yaw_pos1_length,yaw_pos1_terminated
31,15872,346,-2423.1447007921006,0.32581276203402215,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0017053133342415094,18142.93310546875,-1.7640507817268372,0.00035947648575529456,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
32,16384,351,-2488.42688293457,0.3305121448356658,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0021092072129249573,4707.6806640625,-1.7648529410362244,0.0005005086422897875,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
33,16896,356,-2488.42688293457,0.3305121448356658,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0032100353855639696,2892.8744506835938,-1.7665986120700836,0.0010146074637304991,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
34,17408,360,-2488.42688293457,0.3305121448356658,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0009997496381402016,13482.992919921875,-1.7685843706130981,0.0005441292887553573,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
35,17920,347,-2521.214064164595,0.3425309357064014,400.0,-2018.1189850165351,-63.378871121530736,0.5519341985121156,0.05055712582816872,0.026137472942997467,0.053507050107516316,1,400.0,-0.004347557667642832,6710.999572753906,-1.7695416808128357,0.0005593638343270868,9.457093313607293,2.3747934139483715,2.88,0.032577938395730366,0.015255281127190767,0.03494423171869289,1,400,0,-19.111841217863688,0.3513414157774668,1.44,0.06288664360657632,0.034701726029568156,0.06288664360657632,0,400,0,-7.496295358615727,-0.09641561379288732,1.44,0.03103469994262351,0.01878438283001336,0.033965657163882675,0,400,0,-41.27288824465016,-0.421982421884489,2.88,0.07572922136774468,0.03580850178521757,0.08223166794091338,0,400,0
36,18432,351,-2521.214064164595,0.3425309357064014,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0006805267184972763,2257.137451171875,-1.769921213388443,0.0010795560374390334,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
37,18944,355,-2521.214064164595,0.3425309357064014,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.001631102990359068,13636.44140625,-1.769744098186493,0.0009205345413647592,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
38,19456,360,-2559.2743530273438,0.36617612062642974,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0005610771477222443,12130.829223632812,-1.7698739767074585,0.0002815705956891179,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
39,19968,364,-2559.2743530273438,0.36617612062642974,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0011704416829161346,2298.5013427734375,-1.7698555886745453,0.00036670814733952284,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
40,20480,352,-2559.2743530273438,0.36617612062642974,400.0,-2052.675288897767,-65.06027173289806,0.521061631236594,0.05153396868737904,0.026070427149263848,0.05497244591849812,1,400.0,-0.0010362145258113742,6169.345458984375,-1.7702484130859375,0.000447665574029088,8.530951571327755,2.225663009817322,2.88,0.03145862074158511,0.012996190454170881,0.03536053675849959,1,400,0,-21.498918044464094,0.34754493992400337,1.44,0.06639804567402686,0.03611046476355946,0.06639804567402686,0,400,0,-7.497933762710745,-0.09506578895643147,1.44,0.03130298647303608,0.018843331298023704,0.03435816205170827,0,400,0,-41.95503733914903,-0.39389563583851794,2.88,0.07697622186086811,0.03633172208130135,0.08377303918975777,0,400,0
